,team_abbr,score,h/a,opp,game_won,game_lost,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_percentage,free_throws,personal_fouls,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_percentage,two_point_field_goals,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_field_goals,opp_personal_fouls,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_true_shooting_percentage,opp_two_point_field_goal_percentage,opp_two_point_field_goals,date
175,MEM,94,h,LAL,0,1,59.0,23,5.6,3,115.8,75.0,36,0.45799999999999996,0.41100000000000003,39,0.084,0.875,7,18,6.4,6,0.34700000000000003,0.273,9,50.5,50,0.47700000000000004,10.0,11,0.484,30,37,0.528,0.461,41,15,0.34299999999999997,12,49,0.555,0.537,29,2021-01-03 18:00:00
176,DEN,124,a,MIN,1,0,75.6,34,7.4,4,112.2,76.9,30,0.5920000000000001,0.489,45,0.228,0.7140000000000001,15,11,6.2,6,0.489,0.42200000000000004,19,54.4,43,0.612,12.9,15,0.5529999999999999,26,27,0.5760000000000001,0.518,44,17,0.32299999999999995,10,36,0.5920000000000001,0.63,34,2021-01-03 19:00:00
177,MIN,109,h,DEN,0,1,68.2,30,12.8,6,127.6,67.5,27,0.5760000000000001,0.518,44,0.188,0.688,11,17,11.3,11,0.365,0.32299999999999995,10,45.6,36,0.5920000000000001,13.2,14,0.63,34,30,0.5920000000000001,0.489,45,11,0.42200000000000004,19,43,0.612,0.5529999999999999,26,2021-01-03 19:00:00
178,LAC,112,a,PHO,1,0,60.0,24,4.8,2,117.0,80.6,29,0.584,0.48200000000000004,40,0.22899999999999998,0.789,15,22,5.5,5,0.349,0.586,17,48.1,37,0.613,9.9,10,0.426,23,33,0.56,0.493,37,22,0.303,10,40,0.613,0.643,27,2021-01-03 20:00:00
179,PHO,107,h,LAC,0,1,62.2,23,5.6,3,122.5,80.5,33,0.56,0.493,37,0.373,0.821,23,22,4.4,4,0.44,0.303,10,51.9,40,0.613,13.0,13,0.643,27,29,0.584,0.48200000000000004,40,22,0.586,17,37,0.613,0.426,23,2021-01-03 20:00:00
180,UTA,130,a,SAS,1,0,59.2,29,12.8,11,103.0,77.4,48,0.669,0.551,49,0.213,0.579,11,18,3.8,4,0.461,0.512,21,55.9,57,0.6679999999999999,16.3,19,0.583,28,31,0.44799999999999995,0.419,44,16,0.316,6,45,0.47700000000000004,0.442,38,2021-01-03 19:00:00
181,SAS,109,h,UTA,0,1,52.3,23,8.3,4,122.9,77.5,31,0.44799999999999995,0.419,44,0.2,0.7140000000000001,15,16,12.3,13,0.18100000000000002,0.316,6,44.1,45,0.47700000000000004,5.8,7,0.442,38,48,0.669,0.551,49,18,0.512,21,57,0.6679999999999999,0.583,28,2021-01-03 19:00:00
182,NYK,113,a,ATL,1,0,60.5,26,10.7,6,110.9,77.3,34,0.547,0.506,43,0.294,0.8,20,21,9.2,9,0.247,0.33299999999999996,7,52.9,45,0.589,13.5,15,0.562,36,30,0.517,0.46,40,21,0.32299999999999995,10,40,0.556,0.536,30,2021-01-04 19:30:00
183,ATL,108,h,NYK,0,1,60.0,24,3.1,2,116.1,73.2,30,0.517,0.46,40,0.264,0.7829999999999999,18,21,4.1,4,0.35600000000000004,0.32299999999999995,10,47.1,40,0.556,11.0,12,0.536,30,34,0.547,0.506,43,21,0.33299999999999996,7,45,0.589,0.562,36,2021-01-04 19:30:00
184,SAC,106,a,GSW,0,1,58.8,20,11.1,6,125.6,93.2,41,0.433,0.37799999999999995,34,0.433,0.718,28,20,4.6,5,0.389,0.28600000000000003,10,52.0,52,0.495,11.6,14,0.436,24,45,0.644,0.526,51,28,0.535,23,48,0.664,0.519,28,2021-01-04 22:00:00
185,GSW,137,h,SAC,1,0,80.4,41,10.9,6,97.2,80.4,45,0.644,0.526,51,0.14400000000000002,0.857,12,28,3.7,4,0.44299999999999995,0.535,23,48.0,48,0.664,9.6,11,0.519,28,41,0.433,0.37799999999999995,34,20,0.28600000000000003,10,52,0.495,0.436,24,2021-01-04 22:00:00
186,DAL,113,a,HOU,1,0,61.5,24,8.1,3,105.8,85.4,41,0.573,0.47600000000000003,39,0.244,0.95,19,31,4.2,4,0.47600000000000003,0.41,16,59.3,51,0.622,14.2,15,0.535,23,28,0.461,0.39,30,19,0.275,11,35,0.539,0.514,19,2021-01-04 20:00:00
187,HOU,100,h,DAL,0,1,56.7,17,9.3,4,119.6,73.7,28,0.461,0.39,30,0.46799999999999997,0.8059999999999999,29,19,5.3,5,0.519,0.275,11,40.7,35,0.539,11.4,12,0.514,19,41,0.573,0.47600000000000003,39,31,0.41,16,51,0.622,0.535,23,2021-01-04 20:00:00
188,OKC,90,a,MIA,0,1,69.0,20,8.5,4,120.2,88.9,32,0.449,0.36700000000000005,29,0.342,0.7040000000000001,19,15,6.1,6,0.608,0.271,13,44.7,38,0.495,14.2,15,0.516,16,43,0.667,0.568,46,20,0.47100000000000003,16,47,0.664,0.638,30,2021-01-04 19:30:00
